COUNTRY,COUNTRY_GRP,YEAR,VALUE
ESP,,2002,32.93
KAZ,,2007,149.6
FRA,,1983,83.4
FIN,,1989,90.17
NLD,,1995,29.78
IRL,,1970,50.83
LVA,,2012,81.98
EST,,1993,183.02
FRA,,1989,73.23
DNK,,2011,30.5
GBR,,1989,32.8
NLD,,2016,30.2
LUX,,2009,40.28
GEO,,1995,45.22
HRV,,2000,65.34
KGZ,,2001,85.51
ROU,,1998,72.64
FRA,,1991,69.75
FRA,,1998,60.85
LTU,,2002,150.44
ISL,,1995,58.76
,EU_MEMBERS,2005,41.45
ISL,,2004,34.81
CYP,,2010,30.37
,SEEHN,2012,40.63
,NORDIC,2010,40.39
,EU_AFTER_MAY2004,2007,61.08
NOR,,1991,50.68
CHE,,2011,32.34
,CARINFONET,1988,77.54
MDA,,1995,125.78
SWE,,2009,37.06
HUN,,1993,110.87
TUR,,2013,28.93
GRC,,2007,32.38
GBR,,1987,33.59
FIN,,2014,48.62
POL,,1978,21.07
GBR,,2014,28.54
,NORDIC,1997,50.49
MKD,,1995,30.82
MKD,,1994,36.81
MKD,,2009,29.78
SRB,,2008,42.87
LUX,,2005,36.54
POL,,1973,17.55
CZE,,1989,79.03
GBR,,1981,39.13
BGR,,1988,59.87
BGR,,1971,61.61
GBR,,2013,27.61
SVK,,1996,68.17
CHE,,1986,66.82
DEU,,1994,43.14
,EU_BEFORE_MAY2004,1970,69.42
PRT,,2001,43.7
FRA,,1973,92.62
KGZ,,1987,82.14
ESP,,1985,40.56
ESP,,1976,44.92
AZE,,1994,95.3
LVA,,2010,90.42
BEL,,2009,48.65
ITA,,1991,44.7
ISL,,2013,40.05
GEO,,1982,54.64
LUX,,1971,96.84
SRB,,2005,43.85
,WHO_EURO,2001,81.57
,WHO_EURO,1994,94.31
SVK,,2008,55.31
,WHO_EURO,1996,85.24
BGR,,1972,61
,CIS,1986,91.92
FRA,,1986,80.31
NOR,,2012,35.94
MLT,,1973,39.43
,EU_AFTER_MAY2004,1992,89.78
KGZ,,1988,88.68
NOR,,1982,57.92
IRL,,2001,41.75
LUX,,1995,53.88
ROU,,2012,48.27
MLT,,2000,25.57
BLR,,1989,99.88
KAZ,,2005,155.38
SWE,,2002,40.02
LUX,,1993,62.56
ALB,,2006,34.82
DEU,,2000,35.07
,EU_BEFORE_MAY2004,1977,61.63
POL,,1975,18.3
SWE,,1987,51.67
MLT,,2014,19.99
MLT,,2013,19.79
TJK,,2005,32.88
,EU_BEFORE_MAY2004,2009,31.7
BGR,,2014,33.7
KAZ,,1992,121.69
MDA,,2006,109.03
ISR,,2004,32.56
HRV,,2008,56.88
AUT,,2002,45.92
,NORDIC,2002,45.85
SVN,,1986,104.72
POL,,1970,69.24
TKM,,1990,75.02
,NORDIC,2000,48.15
,NORDIC,1972,76.06
MLT,,1974,25.71
LTU,,1981,138.7
,NORDIC,1987,62.92
SVN,,1988,99.08
KAZ,,2011,108.37
CHE,,1988,65.92
LUX,,1989,60.88
,EU_AFTER_MAY2004,1997,78.8
AUT,,1994,58.71
DNK,,2013,27.94
DEU,,1991,49.72
IRL,,2010,35.15
RUS,,1984,104.04
BEL,,2006,48.97
RUS,,1996,206.53
GRC,,2010,27.21
GEO,,2006,27.26
KGZ,,2009,77.21
SVN,,1987,109.16
RUS,,1993,227.37
,EU_BEFORE_MAY2004,1976,63.28
GRC,,1992,36.47
SMR,,1995,39.06
ISR,,2003,34.16
,EU_BEFORE_MAY2004,2008,32.29
CZE,,1991,82.23
,EU_BEFORE_MAY2004,2007,32.75
BIH,,1991,49.45
GEO,,2011,28.32
TJK,,2003,34.68
SWE,,2005,39.34
POL,,2000,66.41
ISL,,1987,52.45
FIN,,1972,102.76
AUT,,1973,101.24
GRC,,2012,26.11
SRB,,1998,52.43
MKD,,2000,38.4
IRL,,1974,61.44
MLT,,2004,27.61
ISL,,1971,92.33
MLT,,2003,31.73
AUT,,1976,91.14
FIN,,2007,67.55
GBR,,2012,26.24
EST,,1997,160.07
UZB,,1995,54.27
,CARINFONET,2013,55.13
MDA,,2009,97.26
GEO,,1994,48.1
RUS,,1982,148.89
CZE,,2009,48.21
DNK,,1973,74.63
LTU,,2010,119.13
UKR,,2009,98.41
,EU_MEMBERS,1977,62.7
ROU,,2015,43.56
ALB,,2007,35.08
,EU_BEFORE_MAY2004,1974,65.72
BEL,,2012,47.13
GRC,,1977,50.58
ARM,,1996,45.45
ESP,,1986,41.85
KGZ,,1991,110.39
CHE,,1975,74.06
MKD,,2004,37.34
ITA,,2008,27.37
DNK,,2009,32.21
BLR,,2007,138.72
FIN,,1999,72.43
ALB,,2005,44.03
DEU,,2013,27.75
,EU_MEMBERS,2006,40.02
ALB,,1995,44.65
MDA,,2005,113.82
KAZ,,1986,93.14
ISR,,2000,34.81
BEL,,2001,56.57
ISL,,1978,76.11
FIN,,1988,88.77
AZE,,1999,31.63
DNK,,1979,66.24
SVN,,1993,92.29
CYP,,2009,33.91
PRT,,1995,54.61
LTU,,1988,109.93
GBR,,1978,43.68
,CARINFONET,1999,77.04
,SEEHN,2005,51.07
SRB,,2015,33.42
ESP,,2013,22.13
BEL,,2003,51.31
LTU,,2011,109.82
,EU_MEMBERS,1980,61.74
CYP,,2005,51.61
LVA,,1994,234.93
