COUNTRY,COUNTRY_GRP,YEAR,VALUE
BGR,,1995,70.99
TKM,,1988,65.15
BLR,,1996,68.61
BEL,,2012,80.51
ARM,,1970,73.03
CHE,,1986,77.27
,NORDIC,2007,80.23
GRC,,1974,74.76
NOR,,1981,76.02
,NORDIC,2009,80.7
BGR,,1994,70.84
BGR,,2010,73.81
MLT,,1983,72.01
ROU,,2014,75.07
MDA,,2012,71.13
AUT,,1990,75.9
BGR,,1971,70.86
IRL,,2011,80.86
MKD,,2011,75.19
KGZ,,1970,67.88
,SEEHN,2009,75.08
KGZ,,1972,67.91
LTU,,1998,71.44
DNK,,1984,74.85
ISL,,2012,83.12
,CARINFONET,2013,72.41
,WHO_EURO,1982,72.31
ISR,,1995,77.5
PRT,,1995,75.35
KAZ,,2013,70.76
CHE,,1990,77.59
NOR,,2007,80.75
GEO,,1987,72.03
NOR,,1992,77.39
NOR,,1975,74.9
BGR,,1976,71.37
ITA,,2014,83.29
CZE,,1986,71.14
LTU,,1980,70.5
LTU,,1976,70.85
KAZ,,2011,69.2
HUN,,2008,74.23
IRL,,1986,73.53
GRC,,1979,75.52
NLD,,2000,78.28
AUT,,2016,81.93
AUT,,1972,70.61
IRL,,1975,71.53
BEL,,1980,73.2
ISL,,1975,75.51
FRA,,2014,83.14
CZE,,1995,73.3
,SEEHN,1997,71.29
AUT,,2010,80.88
CYP,,2001,79.35
UKR,,2002,67.85
ALB,,2001,77.18
IRL,,1990,74.81
UZB,,1994,67.47
CHE,,2013,83.08
MKD,,2005,73.8
MNE,,2000,74.15
ISR,,1970,71.63
ISR,,1971,72.2
MDA,,2014,71.6
AZE,,1999,71.73
MLT,,1970,70.47
GBR,,2015,81.11
MNE,,2002,74.08
MLT,,1990,76.19
,EU_BEFORE_MAY2004,2011,81.64
MLT,,1994,77.02
SWE,,1995,79.07
LUX,,2004,80.04
SWE,,2007,81.19
,CARINFONET,1982,67.26
AZE,,2002,72.41
GBR,,1977,73.1
AZE,,1998,71.73
KGZ,,2007,67.9
DEU,,1993,76.26
IRL,,2000,76.6
,EU_AFTER_MAY2004,1995,71.24
IRL,,1980,72.45
DNK,,1996,75.88
DNK,,2013,80.56
LVA,,1984,69.45
,EU_AFTER_MAY2004,2001,73.3
,EU_AFTER_MAY2004,1988,71.04
,EU_AFTER_MAY2004,2003,73.58
DEU,,2010,80.63
HUN,,2003,72.59
LVA,,2012,74.13
MLT,,1999,77.31
,EU_BEFORE_MAY2004,2007,80.65
,EU_MEMBERS,1993,75.61
CHE,,2007,82.16
LTU,,1982,70.9
LTU,,1997,71.15
TKM,,1999,67.57
UZB,,2010,72.96
MLT,,1982,72.22
BLR,,1985,70.96
MLT,,1989,75.96
BLR,,1981,71.37
ESP,,1999,78.79
POL,,2011,76.91
,CIS,1999,67.33
KGZ,,1982,67.63
KGZ,,1992,68.28
SRB,,2012,74.94
ISR,,1982,74.28
MNE,,1991,75.74
TKM,,2011,70.95
,NORDIC,1987,76.09
MLT,,1988,75.37
,CIS,2002,66.86
,CARINFONET,1995,66.52
ESP,,2008,81.52
TJK,,1989,69.4
FIN,,2004,78.98
BLR,,2004,68.97
MLT,,2003,78.63
DEU,,2002,78.75
ROU,,2012,74.57
,EU_BEFORE_MAY2004,1993,77
,CARINFONET,1993,66.44
SRB,,2003,72.55
ISL,,2003,81.17
SRB,,1999,71.77
RUS,,1990,69.28
SVK,,1998,72.8
SVK,,1999,73.24
RUS,,1982,68.39
DNK,,1973,73.82
UKR,,1996,67.18
,CARINFONET,2004,69.73
SMR,,1995,79.94
,EU_AFTER_MAY2004,2007,74.66
GEO,,1991,73.06
IRL,,2005,79.2
CHE,,1979,75.8
BLR,,2008,70.58
,WHO_EURO,1981,72.04
ISL,,2004,81.18
LTU,,1987,72.21
LUX,,1998,78.08
LTU,,1983,70.97
UKR,,1972,70.63
IRL,,1983,73.03
,EU_BEFORE_MAY2004,1988,76.16
NLD,,1992,77.53
UKR,,1974,70.74
UKR,,1975,70.16
SRB,,2015,75.37
HUN,,1971,69.18
UKR,,1983,69.98
HUN,,1997,71.06
LTU,,1977,70.8
GRC,,2003,78.93
IRL,,1993,75.33
NOR,,2013,81.93
GRC,,1997,78.12
DNK,,1983,74.67
UKR,,1994,67.71
AUT,,2014,81.79
KGZ,,2000,67.83
UKR,,1987,71.14
FRA,,1976,73.75
FRA,,1980,74.91
ISL,,1999,79.47
HUN,,2011,75.15
FIN,,2010,80.34
UKR,,2008,68.07
LUX,,1991,75.58
DNK,,2014,80.99
DNK,,1985,74.71
GRC,,1996,77.79
DNK,,1982,74.84
SVN,,1989,73.55
UKR,,2009,69.69
LTU,,2015,74.62
FIN,,1989,75.1
ISL,,2000,79.81
TUR,,2013,78.9
SVN,,1986,72.66
FIN,,1971,70.19
DEU,,1996,77.09
LUX,,1995,77.4
UKR,,1982,70
HRV,,2009,76.42
DEU,,2008,80.29
DEU,,2015,80.85
PRT,,1976,69.02
BEL,,1997,77.54
LUX,,1974,71.07
FRA,,1994,78.61
NLD,,1989,77
LUX,,2003,78.46
SWE,,2000,79.92
ALB,,2005,76.83
,WHO_EURO,2007,75.71
,WHO_EURO,2008,75.98
,WHO_EURO,2009,76.4
ESP,,1993,77.74
ESP,,1992,77.61
SWE,,1996,79.29
SWE,,2003,80.37
IRL,,1974,70.96
,EU_BEFORE_MAY2004,1991,76.61
LUX,,1985,73.75
LUX,,2001,78.84
SVN,,2000,76.28
SWE,,1988,77.14
TKM,,1998,66.11
GBR,,1998,77.54
SWE,,1989,77.84
GEO,,2014,73.08
BEL,,2001,78.32
TUR,,2009,76.21
ISR,,1996,78.42
,CIS,1993,66.35
BLR,,1994,68.99
IRL,,1972,70.88
CHE,,1998,79.73
,NORDIC,2011,81.23
,EU_AFTER_MAY2004,1990,70.84
LUX,,1992,76.12
FIN,,1983,74.55
FIN,,1972,70.91
,CIS,1992,68.37
SVN,,1987,72.48
AUT,,1973,71.15
,CARINFONET,1981,67.22
,EU_BEFORE_MAY2004,1973,72.29
MNE,,1990,77.55
NLD,,2009,81
,EU_BEFORE_MAY2004,1978,73.59
FIN,,1990,75.12
NLD,,2016,81.8
ARM,,2015,75.17
ARM,,1999,74.84
UKR,,2014,71.44
CHE,,1983,76.32
ROU,,2000,71.24
,SEEHN,1985,70.64
ISR,,1990,76.83
LTU,,2000,72.2
BLR,,2007,70.38
IRL,,2012,80.93
CHE,,1970,73.24
BLR,,1995,68.58
LUX,,1989,75
ARM,,1982,73.39
LUX,,1993,76.02
,SEEHN,1996,71.14
BLR,,2001,68.53
CHE,,1975,74.95
LUX,,1972,70.87
BLR,,1997,68.57
,CARINFONET,2010,71.49
SMR,,1999,81.63
ISR,,1998,78.46
,EU_BEFORE_MAY2004,2014,82.22
KGZ,,1977,65.89
AUT,,1995,76.97
ISR,,1981,74.49
,EU_BEFORE_MAY2004,1985,75.32
,EU_BEFORE_MAY2004,1987,76.01
DNK,,1979,74.45
HUN,,1973,69.66
BGR,,2000,71.71
CYP,,2012,81.77
SWE,,2012,81.9
BGR,,1972,70.84
HUN,,2007,73.65
FRA,,1999,79.02
ESP,,1978,74.39
SWE,,1975,75.08
ESP,,1977,74.25
NOR,,2011,81.52
NLD,,1981,76.19
ALB,,1992,73.22
TKM,,2001,69.07
HUN,,1980,69.11
HUN,,2000,71.49
IRL,,2006,79.4
MKD,,2002,73.16
FRA,,1977,74.39
ISR,,1991,76.82
PRT,,1986,73.41
CYP,,2000,77.89
ROU,,1984,69.91
MDA,,2000,67.75
BEL,,2014,81.51
ROU,,1998,69.92
NOR,,1972,74.44
NOR,,1990,76.7
KAZ,,2014,71.6
ESP,,1972,73.58
ESP,,1985,76.48
ISR,,2012,82.27
MKD,,1993,72.02
NLD,,2002,78.56
MKD,,2008,74.51
ESP,,2004,80.46
ITA,,1977,73.64
ITA,,1980,74.38
ISR,,2004,80.19
ITA,,2011,82.41
,SEEHN,2011,75.82
CHE,,2012,82.98
CZE,,1971,69.67
,EU_MEMBERS,1982,73.82
CZE,,1972,70.36
CZE,,1973,69.99
GBR,,1992,76.57
KGZ,,1994,65.43
CZE,,1976,70.52
CZE,,1977,70.55
CZE,,1978,70.64
CZE,,1979,70.74
POL,,1989,71.11
ROU,,1985,69.41
KAZ,,1989,68.77
KAZ,,2007,66.42
HRV,,2007,75.89
KAZ,,2004,66.25
SVN,,1996,75.24
BLR,,1982,71.5
UZB,,2012,73.13
KGZ,,2008,68.54
LUX,,1987,74.11
ITA,,1973,71.92
HRV,,2000,72.99
MDA,,2007,68.94
FIN,,1984,74.91
KAZ,,2010,68.61
GBR,,2009,80.54
LUX,,1999,78.94
SVN,,1999,75.76
FIN,,1974,71.39
MLT,,1975,70.35
CHE,,2001,80.51
,CIS,1995,65.86
,CIS,1996,66.62
,CIS,1997,67.41
ROU,,1976,69.94
POL,,1972,70.99
ROU,,1970,68.04
SRB,,2011,74.64
,EU_AFTER_MAY2004,2000,72.94
,CIS,1989,69.87
NLD,,2003,78.79
POL,,2006,75.38
,EU_BEFORE_MAY2004,1972,72.19
