,ESP_heatwaves,ESP_nuclear_production_rate,FRA_heatwaves,FRA_nuclear_production_rate,HUN_heatwaves,HUN_nuclear_production_rate,CHE_heatwaves,CHE_nuclear_production_rate,GBR_heatwaves,GBR_nuclear_production_rate,DEU_heatwaves,DEU_nuclear_production_rate,SVK_heatwaves,SVK_nuclear_production_rate,CZE_heatwaves,CZE_nuclear_production_rate,BEL_heatwaves,BEL_nuclear_production_rate,NLD_heatwaves,NLD_nuclear_production_rate,SWE_heatwaves,SWE_nuclear_production_rate,FIN_heatwaves,FIN_nuclear_production_rate
2006,11.122406959533691,20.34156342,11.868865966796875,79.05965945,7.096470832824707,37.53869322,10.90857982635498,44.77114716,8.992846488952637,19.17774445,9.042452812194824,26.43599502,7.306624412536621,57.63655563,6.474774360656738,31.13539102,7.2823357582092285,55.30065917,6.992514610290527,3.509961248,11.070658683776855,46.74357579,9.974279403686523,27.82826319
2007,11.640715599060059,18.25575886,12.226930618286133,77.99922662,6.993956565856934,36.72922923,11.175626754760742,42.03103599,8.909402847290039,16.03884256,9.107709884643555,22.178034699999998,7.201778411865234,54.976337300000004,6.396158218383789,29.82088328,7.075435161590576,55.09893977,6.8263139724731445,3.993724148,11.298201560974121,44.99909288,10.304673194885254,28.83008185
2008,12.248180389404297,18.96372091,12.78570556640625,77.25834297,7.070140361785889,37.02186134,11.494234085083008,41.32108121,9.009293556213379,13.63874958,9.097208023071289,23.40789432,7.314716339111328,58.07719054,6.529481410980225,31.875862899999994,7.118343830108643,54.51826328,6.874137878417969,3.876264505,11.681743621826172,42.62278677,10.856549263000488,29.64924062
2009,12.58447551727295,18.07694548,13.185016632080078,77.21209129,7.154177188873291,42.95978612,11.796907424926758,41.52505512,9.317956924438477,18.52140745,9.669023513793945,22.87114851,7.4810895919799805,54.32694163,6.575260639190674,33.33006664,7.164942264556885,52.58223281,6.883429050445557,3.736443518,12.651703834533691,38.19287869,11.719430923461914,32.64371644
2010,12.749398231506348,20.77969965,13.417737007141113,75.94052651,7.370804786682129,42.17441332,12.173154830932617,39.87615818,9.623886108398438,16.41839156,10.018856048583984,22.43214387,7.678204536437988,53.06583163,6.783340930938721,32.81836084,7.361216068267822,51.09503053,7.032732009887695,3.327743775,13.210436820983887,38.95190624,12.281475067138672,28.26189355
2011,12.919292449951172,19.79810176,13.750972747802734,79.5116603,7.688358783721924,43.54646159,12.746910095214844,42.47233176,9.653714179992676,18.95612172,10.358248710632324,17.780965300000002,7.920910358428955,54.478931,7.08669376373291,32.593113300000006,7.764848232269287,54.18698182,7.360313892364502,3.633635478,13.499701499938965,40.24851252,12.634475708007812,31.54650957
2012,13.648259162902832,20.91228882,14.209249496459961,75.96277983,7.8812479972839355,45.59838314,13.272911071777344,37.336366299999995,9.900965690612793,19.55754204,10.456719398498535,15.94630907,8.121182441711426,54.69853149,7.286694049835205,34.98102368,7.930625915527344,49.36842234,7.366265773773193,3.790005615,14.114361763000488,38.47545002,13.215510368347168,32.64688756
2013,14.215225219726562,20.15527012,14.830015182495117,74.70448631,8.262621879577637,50.73611936,13.803018569946289,37.820139700000006,9.831319808959961,19.86283065,10.66943359375,15.3710038,8.518900871276855,55.13081293,7.672522068023682,35.74667473,7.983822345733643,51.901075899999995,7.407932281494141,2.8416686330000003,14.582235336303711,43.42714875,13.881278038024902,33.12797339
2014,14.891273498535156,20.84204707,15.686430931091309,78.23558829,8.59063720703125,53.24237888,14.06002426147461,39.30986277,10.182330131530762,19.01262478,11.371358871459961,15.61715155,8.73098087310791,57.09076175,7.868653297424316,35.63622262,8.309577941894531,47.13574445,7.795301914215088,3.955791062,15.151521682739258,42.25028329,14.705632209777832,34.62860164
2015,15.257340431213379,20.61866432,16.032556533813477,77.62780083,8.94645881652832,52.18508997,14.374801635742188,34.93199389,10.190531730651855,20.91385318,11.662381172180176,14.31992599,9.12158203125,56.87143286,8.182328224182129,32.48886414,8.51350212097168,37.53235176,7.991962432861328,3.508676297,15.495940208435059,34.73640007,15.317306518554688,33.89798388
